Date,Monthly_Return
2010-12-31,0.09892284282573405
2011-01-31,0.03557180893203693
2011-02-28,0.04171029490842626
2011-03-31,0.02658164839737398
2011-04-30,0.0455587162156168
2011-05-31,-0.05172406951123365
2011-06-30,-0.04264473521774059
2011-07-31,0.04558014245480835
2011-08-31,-0.00396297522996325
2011-09-30,-0.1462201761632197
2011-10-31,0.07650487997822664
2011-11-30,-0.0028859498265345618
2011-12-31,-0.028943579142037712
2012-01-31,0.036885145919741014
2012-02-29,0.05353937480158266
2012-03-31,-0.017735343789078817
2012-04-30,-0.013541617248900795
2012-05-31,-0.11158044213574081
2012-06-30,0.02020600759202895
2012-07-31,0.05825248067431654
2012-08-31,0.056513742156887314
2012-09-30,-0.0038208619212521944
2012-10-31,-0.03905157408015514
2012-11-30,0.01959367048409022
2012-12-31,-0.011387923961616697
2013-01-31,0.02483809695609418
2013-02-28,-0.04706723569925375
2013-03-31,0.006634741133190625
2013-04-30,-0.03808115101464937
2013-05-31,-0.015607231913258635
2013-06-30,-0.02822894423672595
2013-07-31,0.03183439748789185
2013-08-31,0.028152740347923144
2013-09-30,-0.03375845570091962
2013-10-31,-0.00038813869828402403
2013-11-30,-0.009320386736589859
2013-12-31,0.005880078097594721
2014-01-31,-0.030397648448973413
2014-02-28,0.05024119482518663
2014-03-31,-0.0003825591452725208
2014-04-30,0.011102555478726517
2014-05-31,-0.014388493370491529
2014-06-30,0.021129465582006013
2014-07-31,-0.04740411603274475
2014-08-31,-0.011453348351725179
2014-09-30,-0.0723132802895845
2014-10-31,-0.03875970886745106
2014-11-30,-0.08512538266251557
2014-12-31,-0.09647397083108433
2015-01-31,-0.056910628735395874
2015-02-28,0.04425292272848047
2015-03-31,-0.06053940640718547
2015-04-30,0.07147047795496153
2015-05-31,-0.03171147930359708
2015-06-30,0.01637504643091381
2015-07-31,-0.1261111134351669
2015-08-31,-0.002543003680365752
2015-09-30,-0.034416718681163694
2015-10-31,0.0033002513437885295
2015-11-30,-0.06644735448700301
2015-12-31,-0.05849184296721743
2016-01-31,-0.04341315176436622
2016-02-29,-0.0023474813824343466
2016-03-31,0.04235297762852097
2016-04-30,0.09706546534897686
2016-05-31,0.008916365724509712
2016-06-30,0.04350783258796098
2016-07-31,-0.0697069241754924
2016-08-31,0.007703035476056108
2016-09-30,0.0430855598727089
2016-10-31,-0.0033311059072401727
2016-11-30,0.016711196300915665
2016-12-31,0.041420165467999315
2017-01-31,-0.005681834231206606
2017-02-28,-0.0019048135082879725
2017-03-31,-0.03244272623198252
2017-04-30,-0.02695593970221033
2017-05-31,-0.014189205181973974
2017-06-30,-0.009595624404845515
2017-07-31,0.04083047538433071
2017-08-31,0.003989397306487508
2017-09-30,0.019867509465003375
2017-10-31,0.03961049526122484
2017-11-30,0.009368988415906276
2017-12-31,0.027846683463349065
2018-01-31,0.029500200355587536
2018-02-28,-0.02923977205319017
2018-03-31,0.02289150796968098
2018-04-30,0.03415788300935185
2018-05-31,0.026765335720760453
2018-06-30,-0.019411932542782284
2018-07-31,-0.024321389056489062
2018-08-31,0.0075362044515254745
2018-09-30,0.03394708784743439
2018-10-31,-0.056204833742260485
2018-11-30,-0.09846687080420513
2018-12-31,-0.040012655890602766
2019-01-31,0.07108370807839703
2019-02-28,0.028350347475269322
2019-03-31,-0.003759422857209982
2019-04-30,0.0119497971384257
2019-05-31,-0.05966443454956505
2019-06-30,0.03965635389422584
2019-07-31,-0.0114431756286556
2019-08-31,-0.046302204335067154
2019-09-30,0.014160467574163116
2019-10-31,0.01928193175314563
2019-11-30,-0.0013046398305099904
2019-12-31,0.05849156762422547
2020-01-31,-0.08589342951487844
2020-02-29,-0.06652947020922273
2020-03-31,-0.17340187715929656
2020-04-30,-0.03111112786674497
2020-05-31,0.08073383696792003
2020-06-30,0.04499166912618935
2020-07-31,0.05117775769309407
2020-08-31,0.04636791659315875
2020-09-30,-0.03545047048652461
2020-10-31,-0.031393677682655885
2020-11-30,0.10197631460100043
2020-12-31,0.054519413356882485
2021-01-31,0.03333328043767603
2021-02-28,0.10138255217107872
2021-03-31,-0.007172702395626618
2021-04-30,0.07826610967550818
2021-05-31,0.03852605101080053
2021-06-30,0.03494612162706501
2021-07-31,0.01298698866534398
2021-08-31,-0.01641023477169301
2021-09-30,0.052137545841592914
2021-10-31,0.057978353758720624
2021-11-30,-0.08758787970289261
2021-12-31,0.06673522805752441
2022-01-31,0.07892190114596964
2022-02-28,0.06467444894940111
2022-03-31,0.09174691008747904
2022-04-30,0.05640840272730263
2022-05-31,0.04613139369842556
2022-06-30,-0.07500008467813257
2022-07-31,-0.01989480566973778
2022-08-31,-0.014936872327378614
2022-09-30,-0.07037317736276416
2022-10-31,0.05060645636223726
2022-11-30,0.01472921087645962
2022-12-31,-0.027115094329576483
2023-01-31,0.008924957719991466
2023-02-28,-0.044632124782704174
2023-03-31,-0.0008417435980508925
2023-04-30,-0.007582163336560477
2023-05-31,-0.06409166714383863
2023-06-30,0.02947849121609525
2023-07-31,0.08722465921309297
2023-08-31,-0.0036467314236157122
2023-09-30,0.01504680943862624
2023-10-31,-0.018028859755398252
2023-11-30,-0.02447976563437959
2023-12-31,-0.03291289201923797
2024-01-31,0.013157915127992359
2024-02-29,-0.015226188857683898
2024-03-31,0.04456569955462797
2024-04-30,0.016107959145061912
2024-05-31,-0.002999130045687637
2024-06-30,-0.0017189809376074727
2024-07-31,-0.027980999403820483
2024-08-31,-0.020814903281042962
2024-09-30,0.007236577799776711
2024-10-31,0.014369081749735058
2024-11-30,-0.01992037116836831
