Target_Risk_Level,Volatility,Return,Sharpe_Ratio,AGG,LQD,HYG,IWDA.L,EEM,VNQI,DBC,GLD,IGF,Moneymarket,IUKP.L,Simulated_1st_Percentile_Max_Drawdown,Vol_Risk_Level_Assigned,DD_Risk_Level_Assigned,Final_Assigned_Risk_Level
1,0.10245543680628404,0.037270634664121685,0.36377410341425354,0.07945586427250946,0.012654037875051797,0.044894551085570014,0.07029222792757717,0.05247710188609224,0.04589312712861007,0.12846346795133093,0.10654570281769381,0.026751524741519178,0.33304989900648085,0.09952249530756452,-0.6836373368593629,1.0,9.0,9.0
2,0.11119253361837579,0.041467798268916375,0.37293689530664104,0.1878200790646462,0.1383042756068459,0.09356829643675547,0.1354904034184617,0.008735410556974466,0.019390467650933767,0.09389188087566923,0.06107179260897698,0.02817392702471285,0.22151773575144815,0.012035731004575475,-0.672392936574466,2.0,9.0,9.0
3,0.1203196490557115,0.051194233793146075,0.4254852320043059,0.09096428250499407,0.04175877678461359,0.14785424211318327,0.019172939016555132,0.067411104218505,0.0006554936288923695,0.10685150489515066,0.19318290998163976,0.11875289629004028,0.20678378087859428,0.006612069687831605,-0.7332762478562279,3.0,9.0,9.0
4,0.12763151441526607,0.057950805820137126,0.454047780327878,0.007275142881223267,0.05944717129798318,0.12936227309730247,0.11249210134480478,0.07141170235386196,0.04077260169503794,0.050039648997793014,0.20246241952645633,0.08837010846563226,0.20471985731647374,0.033646973023431045,-0.7058886519703462,4.0,9.0,9.0
5,0.1368099551202102,0.0657268772646307,0.4804246679774052,0.13542306340571691,0.018089561121116666,0.08763838781164963,0.25508897224704224,0.02238292399849131,0.005752505338003795,0.07338141932067045,0.2467314858857267,0.00879889150878834,0.08090206546563644,0.06581072389715761,-0.7211298616467069,5.0,9.0,9.0
6,0.14437512982699516,0.06546950081518961,0.4534679961406218,0.03645516601717102,0.029734902958771268,0.1513278191933964,0.17331182956662913,0.04768739842255008,0.03389436293211683,0.07626744828470847,0.1839549703530474,0.13778233668959777,0.1066751667923467,0.02290859878966476,-0.752807271223693,6.0,9.0,9.0
7,0.15304880353702532,0.06868861406983875,0.44880203230874466,0.061373260128438654,0.0362278283824858,0.10460354931685963,0.19368398324632355,0.04156987973672663,0.0644088869006429,0.023611723664031102,0.1726012632777401,0.20429137624829835,0.08383123225672258,0.01379701684173075,-0.7598576653506777,7.0,9.0,9.0
8,0.16128091996063887,0.06847131066678701,0.4245468756223467,0.029881584674347227,0.0017985321456900545,0.08224587332394291,0.15726444814508803,0.06294549218040023,0.04021089762089976,0.14666045428709323,0.15358509635776882,0.24469128739440213,0.05654423371562512,0.02417210015474243,-0.8336238554080024,8.0,9.0,9.0
9,0.16966379509359095,0.07013966025546461,0.413403815568158,0.05597866411417049,0.059157216479447626,0.045869634468758885,0.2045687484358898,0.10941874444855708,0.09724462521374715,0.05378522856781965,0.1422984957692887,0.2020206572179917,0.026534823837333996,0.003123161446995174,-0.830486688351689,9.0,9.0,9.0
10,0.17876996095500072,0.0703301999649035,0.39341173197776075,0.05783654460321396,0.03407379210747745,0.006015209979956181,0.22664319496747198,0.23319859941680732,0.0751952972561275,0.025933082154400627,0.13710875690076213,0.15849470458130416,0.0038233381147328516,0.0416774799177458,-0.8616500803993389,10.0,9.0,10.0
