Target_Risk_Level,Volatility,Return,Sharpe_Ratio,AGG,LQD,HYG,IWDA.L,EEM,VNQI,DBC,GLD,IGF,Moneymarket,IUKP.L,Simulated_1st_Percentile_Max_Drawdown,Vol_Risk_Level_Assigned,DD_Risk_Level_Assigned,Final_Assigned_Risk_Level
1,0.11313951789832163,0.07322915003029637,0.647246438650263,0.08703298551394728,0.0594857631679574,0.1365047893107966,0.005801129104372874,0.011493845313480388,0.030785071555732887,0.12800753099796133,0.13527782587197243,0.008798786472354065,0.24922167673931675,0.14759059595210794,-0.7233952003859669,1.0,3.0,3.0
2,0.12143763405120035,0.09886142913092552,0.8140921873465001,0.16239069948610232,0.0683718751621974,0.012443778032276387,0.041541405934925495,0.02751931509442856,0.014198115561631927,0.15357077377520442,0.17182596492617266,0.09575997105942413,0.23879227626227525,0.013585824705361384,-0.7216328345609425,2.0,3.0,3.0
3,0.13017342290878609,0.11473919628043236,0.8814333503454952,0.0051434656483970425,0.14079408798329957,0.07349742005584842,0.06429608105824478,0.028762037766464514,0.004567289870487613,0.21063369523069195,0.18972103347982003,0.06731940536816286,0.20170684023552546,0.013558643303057722,-0.7766929864402486,3.0,5.0,5.0
4,0.13824624544482392,0.11803736703006584,0.8538196943451623,0.05800144314297086,0.08340566204549958,0.08645909267187576,0.14128878682003496,0.04255530415014274,0.016190232103614453,0.1610628887988269,0.15866725195981024,0.07673931256856627,0.16727967327823215,0.00835035246042607,-0.7550467329214654,4.0,4.0,4.0
5,0.14600282788572982,0.12118055857314874,0.8299877497440775,0.07934985107042342,0.060332186748110264,0.04282927371768699,0.11947454100166348,0.07135600899646563,0.02621386140119377,0.14507242552638847,0.15232792878703114,0.14798810495912038,0.14833736800132788,0.0067184497905885925,-0.7870743097238775,5.0,5.0,5.0
6,0.15521945492173383,0.13433938330172707,0.8654803186202715,0.0070196178945604055,0.01727442415641724,0.19473136280504724,0.0625939181576406,0.05200534502596427,0.03307497851914133,0.23907020574775179,0.19172160852007608,0.11121136661613513,0.05996646365807179,0.03133070889919406,-0.8701813694256069,6.0,8.0,8.0
7,0.16281824120882218,0.13755991590160488,0.8448679636895089,0.02695825099064324,0.1716555788291391,0.047610571264888026,0.12750521638679055,0.025668851479690964,0.003917031390855574,0.3388367011821691,0.09342933623668191,0.12565125793571952,0.02197617569888193,0.016791028604539935,-0.8937760437922279,7.0,9.0,9.0
8,0.17130598457953652,0.13674083046686347,0.7982256475305763,0.025109314458978817,0.036794577429361916,0.149769446987766,0.21945824161437932,0.10394521029632309,0.036120783577857994,0.04759805275310624,0.23086086514993576,0.10712162863852953,0.028041552157021657,0.015180326936739541,-0.8040441765647309,8.0,6.0,8.0
9,0.179533086393252,0.13770329985212293,0.7670079238235538,0.02725675695901933,0.021521035996712547,0.02164914932501992,0.22990195704352817,0.2008408592969786,0.14606310759481148,0.16422023164632074,0.13229831776095274,0.020626307378454462,0.031960363450364945,0.003661913547836941,-0.8965959575093561,9.0,9.0,9.0
10,0.18841682579634073,0.12443951496672713,0.6604479957710013,0.0478335766878985,0.08032323957713648,0.06961611669692236,0.1920716072244671,0.13897436974039046,0.1591042704004309,0.068240968756462,0.04647819019589678,0.19147945629805022,0.004844392704518552,0.001033811717826738,-0.8826272842664501,10.0,8.0,10.0
