Price,Close,High,Low,Open,Volume
Ticker,IUKP.L,IUKP.L,IUKP.L,IUKP.L,IUKP.L
Date,,,,,
2011-02-25,406.4632873535156,412.82998395419565,402.7269537784056,403.42438446860984,313761
2011-02-28,414.83258056640625,416.87509699205856,405.61629303431187,409.20317858753293,602015
2011-03-01,410.0999755859375,417.0744648632277,410.49851174908207,417.0744648632277,111361
2011-03-02,410.4486083984375,412.0925886839329,408.3562560321921,409.70134186808934,264334
2011-03-03,414.6833190917969,414.6833190917969,405.11829680071844,405.11829680071844,149462
2011-03-04,420.0634765625,428.43285651548473,414.9780742991956,418.36966008350095,110419
2011-03-07,420.76092529296875,422.9529196065942,418.46931975210737,418.46931975210737,145996
2011-03-08,418.9674987792969,422.2604464959579,417.36338097711985,420.56167370253485,307721
2011-03-09,418.5190124511719,422.85316388911275,417.4728515965841,422.85316388911275,133913
2011-03-10,411.64422607421875,418.414474373737,399.53851408532324,399.53851408532324,194759
2011-03-11,409.1533508300781,410.52333954492804,408.0075481680201,410.4984367404744,73909
2011-03-14,406.4632873535156,409.3128498317465,405.8256051616438,409.10362366532127,363300
2011-03-15,399.53851318359375,403.723218002921,392.42753130101374,396.9479830766938,176009
2011-03-16,392.81317138671875,399.72189120975247,390.3720881527806,398.54221573795184,262160
2011-03-17,401.6309814453125,402.328412178808,391.0895213035061,392.5641386589724,236465
2011-03-18,403.82293701171875,406.5131094574377,403.524042476133,406.5131094574377,494150
2011-03-21,406.41339111328125,407.3300515266917,402.926146959859,406.3137494847694,69462
2011-03-22,405.6163635253906,409.1036080624931,400.53494397576947,400.53494397576947,773822
2011-03-23,409.0040283203125,408.60549210845954,404.6200691772019,405.5167832554621,436688
2011-03-24,412.8897399902344,413.48755941041276,407.7087092968589,407.7087092968589,99394
2011-03-25,416.0780944824219,415.2809917780678,411.9601612666801,415.0817389067486,169100
2011-03-28,412.2919616699219,415.87884814219683,412.18237714191713,412.4912449653001,75519
2011-03-29,411.8934631347656,412.69056598277604,409.5640011363324,410.49857115870316,633951
2011-03-30,413.6369323730469,414.38419891246815,412.39148814067806,412.98930745348576,255007
2011-03-31,412.1423645019531,414.35229807536956,410.4983843352786,413.28816701773536,479900
2011-04-01,413.2882385253906,413.4875217827681,406.5130334635407,408.40610278320264,795070
2011-04-04,413.1885986328125,420.84060084599815,410.6379312284173,412.49113768674266,946103
2011-04-05,413.88616943359375,415.2810613920918,411.69420504348665,412.98945534644247,580204
2011-04-06,412.9893798828125,419.56533266426896,411.3952049045263,414.18501871811685,1130858
2011-04-07,406.2639465332031,413.60708154789114,405.51667992400655,412.19227379537176,594562
2011-04-08,407.5093688964844,410.49843517200867,406.8119079363202,409.30279649925717,101140
2011-04-11,407.1108093261719,416.476543701343,407.7444777179872,416.476543701343,113521
2011-04-12,404.96875,407.01126683872735,400.2858664686872,407.01126683872735,233453
2011-04-13,407.06103515625,408.40612118827505,404.52034074514734,404.52034074514734,219808
2011-04-14,408.4559020996094,409.50206309095,406.91153300959064,406.91153300959064,155507
2011-04-15,415.0319519042969,415.28104082763554,409.70147326994015,411.69418465664927,78975
2011-04-18,410.2991638183594,415.2809410886472,408.8046306372731,415.0836646547505,119266
2011-04-19,410.24945068359375,413.38796499006463,409.9007201147943,411.7937898229543,174564
2011-04-20,416.5264587402344,418.0708282097399,414.28465857391154,414.9821196770896,64710
2011-04-21,420.5616760253906,422.66397160229366,418.3896282637405,420.86057052236714,139752
2011-04-26,424.8459777832031,436.4037076281422,421.2590919132073,436.4037076281422,193363
2011-04-27,425.69281005859375,435.4072744192053,422.594159611437,435.4072744192053,149405
2011-04-28,429.67828369140625,443.3781709975091,427.12162614444463,435.40732747395833,539583
2011-04-29,427.11761474609375,427.11761474609375,427.11761474609375,427.11761474609375,0
2011-05-03,433.6139221191406,442.3818382829263,419.4656619754774,442.3818382829263,687201
2011-05-04,427.6357727050781,434.5106192513548,406.91156103329484,412.98933537949944,478405
2011-05-05,426.34051513671875,430.02704267319604,424.4474457556995,429.7281177774412,558989
2011-05-06,427.8350524902344,428.13397738884953,411.49482810906363,411.49482810906363,524293
2011-05-09,423.1023864746094,426.6693564407081,421.3587642281175,421.3587642281175,669595
2011-05-10,426.2907409667969,427.23726052394255,421.9565881127027,421.9565881127027,80470
2011-05-11,424.64678955078125,426.8387537336517,424.4475062585378,425.4438619070321,211311
2011-05-12,422.35516357421875,424.1585649092881,419.56537985321705,422.4548052227607,194079
2011-05-13,424.3975524902344,426.9382463444463,422.8531835303588,426.9382463444463,210769
2011-05-16,421.35870361328125,424.347769891559,419.81436486537956,424.347769891559,316260
2011-05-17,418.66864013671875,422.05624313472373,418.5689984942915,422.05624313472373,308013
2011-05-18,431.521484375,436.3039776287837,419.4655792234132,419.4655792234132,442237
2011-05-19,431.1228942871094,436.9017421114496,420.4618818039492,420.4618818039492,509332
