"",Volatility,Return,Sharpe_Ratio,AGG,LQD,HYG,IWDA.L,EEM,VNQI,DBC,GLD,IGF,Moneymarket,IUKP.L
0,0.09621141870430294,0.032993992453120596,0.34293218931242075,0.19158518249080272,0.08289991499697483,0.11822637495158163,0.03622075981201734,0.06286712162781498,0.005520687914071691,0.024701653787551868,0.05793582143299701,0.026436704070674447,0.25837168945941447,0.13523408945609905
1,0.0974496518686952,0.035466643622484494,0.3639483871145344,0.3110418248169514,0.03416572691567359,0.0677553952702932,0.09776575387191251,0.016200751647125353,0.0171690297448359,0.07607468470771048,0.06250344681549698,0.03873439291130633,0.25184318345881856,0.026745809839875585
2,0.10038318690666964,0.03477569896194459,0.34642951706919783,0.1614563644196466,0.1786162896861943,0.010003971396207935,0.047825583133771186,0.0010404260242553422,0.03160304719557335,0.06923643958438178,0.06797660642428392,0.07223175785140383,0.24186644407549596,0.11814307020878587
3,0.10086279359488921,0.034901126812955624,0.3460257798642223,0.11000022385226846,0.16093880343265385,0.14054948931249966,0.03880076989230578,0.031131206001930433,0.011278468958478852,0.036066569140954706,0.02735286258764073,0.048620696275963056,0.2373944116598505,0.15786649888545387
4,0.10162726325890456,0.039340238908559845,0.38710320092293604,0.24432164041504567,0.0035838592222090897,0.11423694620531405,0.04454349522006993,0.006339528431796713,0.01508741689327841,0.05885842670545969,0.11757606986510721,0.12530278514031032,0.2542680346792654,0.015881797222143616
5,0.10314996303805904,0.03916359852712048,0.3796763214803127,0.17573068389096083,0.014339761873330125,0.21971618435286383,0.09391998328939408,0.017019603699713035,0.005913656623831434,0.08440841382585086,0.009427761725977566,0.072346043283106,0.2554404747141176,0.05173743272085474
6,0.10400120923099926,0.03861820616614329,0.37132458797058393,0.19433877215890452,0.06799670663562918,0.24277538865954382,0.027177631082468238,0.004304739306302952,0.030941845106635044,0.04233116247937592,0.02107682272079013,0.12636514459718584,0.24013127463220366,0.002560512620960521
7,0.10477224145754593,0.03946359325336803,0.37666077106271334,0.16670352747513156,0.032605319216981406,0.17105344456184907,0.0009730708590788255,0.017589625192802705,0.08292650298202829,0.0045834423784745825,0.1732440645526405,0.06932997077288341,0.2523747369187462,0.02861629508938348
8,0.10574016876247172,0.042119630611619295,0.3983314108967829,0.16826168855928406,0.04849777275790421,0.029025657895604944,0.13854002762946677,0.04177644796100662,0.003029301527382232,0.03414084498320644,0.11336825524127225,0.02168959694825318,0.22261402519778256,0.17905638129883658
9,0.10663476755185751,0.041688207748860666,0.39094386104970213,0.2133580769678345,0.11456743214278782,0.06332109127102926,0.12817213704086186,0.07182089043913467,0.002904160395481248,0.03900767607887188,0.08761546660115871,0.03298866184941938,0.23254890764247743,0.0136954995709433
10,0.10775990877750914,0.04556344938926692,0.4228237561275348,0.12301124188768864,0.09144969282779836,0.03706441733389519,0.15783619402378402,0.016410630579016684,0.04207862757932637,0.020509949757079933,0.07978224769434215,0.05187800966840423,0.24308166867546577,0.1368973199731987
11,0.10819341770173535,0.04863866733398135,0.44955292444931444,0.1206809140552401,0.028882482627780013,0.20915733058976665,0.14727991875909938,0.03299961739262707,0.006097716323674166,0.019347383225190647,0.18281473712102123,0.0012092101042538359,0.23665557506461266,0.014875114736734136
12,0.10894459976488785,0.04206237284591787,0.38608956237107867,0.026009025266214753,0.1892622277739631,0.09529032718577664,0.03669396280882779,0.012334590482965929,0.0809868931500978,0.008788107494810286,0.2006399603591165,0.02335052947228156,0.2328995231840791,0.09374485282186654
13,0.110028588348627,0.048022757495125426,0.4364570900697617,0.036121396077377646,0.2319985906941522,0.16450819730200994,0.1513313298094006,0.02274806922252598,0.007592298386033634,0.025494953917722336,0.10743285734282365,0.015365960681568805,0.22126618268853926,0.01614016387784594
14,0.1109084690769424,0.049062346341420655,0.4423678980491905,0.1066835612178106,0.07157115463930433,0.1332542113535463,0.2089821073154582,0.016461687989879088,0.016833714543400137,0.06993159548080838,0.07899321780341749,0.019682433126197454,0.23980184219860423,0.037804474331573745
15,0.11216660528581165,0.04525851325856299,0.40349365252910885,0.17890613166113684,0.15100362425037075,7.771764903988351e-05,0.15541659827493956,0.0228009419600509,0.04095367576139172,0.021642915033370656,0.1343889954311791,0.012401204731418378,0.17896845773528225,0.10343973751181995
16,0.11275964000456572,0.04627736870731729,0.4104072051439991,0.1460305359654648,0.02646707700767405,0.21039406543008018,0.114758835810507,0.015757951723616256,0.006326668589567677,0.062167654600433254,0.13673543574248248,0.04905374090417698,0.18651753321197226,0.04579050101402512
17,0.11419027681173126,0.04858405436799934,0.4254657727829248,0.1762240386369809,0.09407439976611986,0.1469678229711905,0.1272257135441677,0.002619656657115916,0.010378060960350495,0.009639876490322536,0.09820834008388407,0.102067441112823,0.16355893634760324,0.06903571342944176
18,0.11495115861034731,0.04717335190618929,0.4103773504892972,0.009228475759626254,0.14743070934545624,0.11844735900601552,0.13035245788737587,0.020257891946952194,0.0692414047506476,0.005916755835875532,0.05329665928214706,0.060882848327054005,0.22593727280697262,0.15900816505187704
19,0.11553364515287941,0.04988118533613367,0.43174596690105815,0.1076083332698309,0.1380936540578633,0.06508442169748375,0.13688539432354443,0.03919984099510864,0.03271840967414368,0.0019735482356890263,0.1588800896239387,0.06932497732598993,0.20170153566195645,0.048529795134451076
20,0.11614742424695276,0.050071217152853224,0.43110053862573616,0.12293992781016715,0.051300033559291545,0.1163527313784569,0.16655445818984854,0.0024873288765744146,0.057403232095123644,0.00014625009079715355,0.1673709315818371,0.001509547592508837,0.16610815565395215,0.14782740317144258
