"",Volatility,Return,Sharpe_Ratio,AGG,LQD,HYG,IWDA.L,EEM,VNQI,DBC,GLD,IGF,Moneymarket,IUKP.L
0,0.08395238182647345,0.024929174996746014,0.2969442254571612,0.16593221342440803,0.05307733402429372,0.0021395870787704993,0.03449687561509115,0.008913255597979211,0.06317080945354508,0.17140029031943105,0.05126560143661708,0.00680356950824109,0.416266580137088,0.026533883404535243
1,0.09082170311417706,0.025579622260129543,0.2816465820727009,0.21058517050173936,0.1584842640592387,0.07170481052220799,0.0019290648152810578,0.042739443080681526,0.020212555350125894,0.09545199399373194,0.0361324858934414,0.0031259508424523598,0.2842156885422805,0.0754185723988191
2,0.09447383825001733,0.034921704138890584,0.3696441764806161,0.0067084623822494804,0.19627238944334263,0.17038654084640806,0.013395797077791729,0.03507704906879709,0.0277844952199326,0.02397187922688788,0.05460562408346053,0.044983343987336,0.3144212497658433,0.11239316889795067
3,0.09849741578504075,0.03405553064470346,0.34575049886614007,0.2407454547574413,0.13784609628607336,0.11411339232032582,0.03161440591554927,0.006306614451570898,0.06019410015144356,0.008457505686607206,0.05100481046005614,0.04401139480909798,0.23244259016383706,0.0732636349979974
4,0.09994125074786307,0.032411860104949126,0.3243091302381179,0.11017725236428738,0.24300393126800948,0.1256671700338123,0.010388390220437733,0.0009980328684529342,0.0324907643215466,0.03407483149369849,0.02655241079584551,0.04141473967019315,0.22125284625278646,0.15397963071092996
5,0.10058921720605207,0.03776895449667297,0.3754771688828746,0.17388989577698982,0.09720991334557061,0.032569890844758455,0.11023735906957058,0.0038658721286179325,0.014696450180600874,0.08972116821404609,0.09622172591580082,0.022678888764045783,0.24478709839320198,0.11412173736679707
6,0.10156985934153628,0.02561985044421648,0.2522387114672258,0.15914181846997932,0.1457566304725839,0.026754201279603224,0.003074516260422281,0.0018936019960980681,0.00253359250574067,0.25220969565005613,0.037548880968570154,0.07071191818127862,0.28466510448264065,0.015710039733027027
7,0.10260990229960511,0.03912342736696955,0.3812831558179947,0.1067625720636255,0.15138035003508074,0.1654644420874662,0.08565778312890636,0.0029488939858654103,0.00046692400334151106,0.028869322641712478,0.05244042357793341,0.027090703598142828,0.21115954642428633,0.16775903845363918
8,0.1039221938789713,0.03609468195873302,0.3473240951857618,0.21508575289187065,0.20247320854868042,0.04599686699387183,0.060275816526389976,0.08956468238390297,0.004835232268005803,0.014593610826451565,0.09888422104210845,0.014545951209952081,0.22001045276557457,0.03373420454319174
9,0.10401922090824389,0.041497742527056555,0.3989430238442375,0.01571823099965032,0.067496665134354,0.23125395330028597,0.04268608839578159,0.06194426641969377,0.024785188655070556,0.023334910554453688,0.10477053701618184,0.05755262141793791,0.284825065874729,0.08563247223186138
10,0.1059558788970117,0.04721070347284951,0.4455694574412237,0.11674898822934204,0.18840723987322683,0.09723081937455777,0.18020673838240872,0.01650627058803022,0.001114686585798472,0.016461639178844037,0.06730737035985601,0.035916187867089076,0.2364696111420313,0.04363044841881543
11,0.10664460758353715,0.04320105063015654,0.405093624600908,0.16771007356109918,0.17979387358501342,0.08824399941824994,0.09287079308444683,0.0064792868859022195,0.023190603741296556,0.01113606290620823,0.10945758350642251,0.07059554320151948,0.20665829178335782,0.043863888326483774
12,0.10744111545215167,0.04260086985850267,0.3965043519812929,0.12030874549820239,0.035197769941758626,0.0717583172134889,0.06558761894401254,0.0665975597428252,0.059758482341795656,0.0044270707324844255,0.20017713256140302,0.03269251277866003,0.265715243732465,0.07777954651290414
13,0.10888352464834107,0.04556943891015508,0.4185154646428813,0.1479517206322066,0.1703584156193708,0.11036814457902332,0.14739201898442214,0.022645310853122526,0.011236145747074905,0.010248178915663935,0.10525967385818484,0.014158635395897746,0.19078211776048334,0.06959963765454977
14,0.10950785633277091,0.04898884338380719,0.4473546010702702,0.06531932729466504,0.052980264528085054,0.055774581839603224,0.10816507751998909,0.025110000038443284,0.015531530977829817,0.026173039565952082,0.2653525714247852,0.06609393033885283,0.269377334180809,0.05012234229098531
15,0.11017869996552028,0.04741386452447362,0.43033603173128276,0.054754301241304315,0.044954270376240175,0.15838758485468585,0.13221786107294106,0.034634407964065236,0.09505707551486967,0.03305960138939456,0.0733564309663206,0.0671831523762081,0.3063435306814119,5.178356255831016e-05
16,0.11195072742809706,0.047284418138044064,0.4223681187637979,0.0754775883173833,0.026190145021329107,0.007906502089500412,0.20891420382890102,0.00549195275977006,0.0599482360310456,0.0769749840252641,0.06802436697369232,0.03521177452979225,0.26605758804683416,0.1698026583764877
17,0.1126971061347034,0.04927829053519896,0.4372631403356367,0.18451228496819697,0.10321965706612282,0.04914149635312799,0.17562017392806897,0.01142004073145893,0.008764269122683742,0.009342435876550323,0.09636767249072842,0.08121127443009106,0.1834283446633887,0.09697235036958209
18,0.11334129923174689,0.05082495555120195,0.44842397162998004,0.058231137226803266,0.002906894923835053,0.2322476131147772,0.17037247048762288,0.06020064174524338,0.005056376560089789,0.03888893514275458,0.06594566444099845,0.07100623640393863,0.262579314649332,0.03256471530460479
19,0.11398583782654267,0.04813470663280524,0.42228672921678184,0.15322517319602574,0.05280242299340553,0.12208301214707105,0.12435925408692863,0.0197149048477251,0.012332576463210244,0.055271050684371215,0.11468459740636074,0.11582889663391323,0.21031654066309524,0.019381570877893307
20,0.11587661107454787,0.05249086318110964,0.4529892848466224,0.04042156038268772,0.14179593157766252,0.15274187019425992,0.22741578312326016,0.005155436952593811,0.0008821389288230715,0.08630241082696577,0.09225843046496655,0.023403994539526404,0.21835188584025986,0.011270557168994132
